,combined_info
91280,title: A Beginner’s Guide to Reinforcement Learning and its Basic Implementation from Scratch. url: https://medium.com/analytics-vidhya/a-beginners-guide-to-reinforcement-learning-and-its-basic-implementation-from-scratch-2c0b5444cc49
11538,"title: World in Crisis, Pandora Still Rocks. url: https://medium.com/minds-on-media/world-in-crisis-pandora-still-rocks-ef8b2689c29d"
184838,title: Worried about AIs taking your job? Here are four things that AIs can’t do better than humans.. url: https://medium.com/@duncanshaw_1/worried-about-ais-taking-your-job-here-are-four-things-that-ais-cant-do-better-than-humans-15653ad3b209
105095,title: The Eggs. Mother found a way. This time would not…. url: https://medium.com/@jasonleimgruber/the-egg-we-live-in-29c02c1f5992
10671,title: How to Improve AI Product Testing. url: https://medium.com/mit-initiative-on-the-digital-economy/how-to-make-your-ai-products-shine-bb1c178cffeb
965,title: A Guide to Logistic Regression in SAS. url: https://medium.com/hackernoon/logistic-regression-using-sas-enterprise-guide-3ffb7774f765
51368,title: 12 mind-blowing AI advances and 12 critical takeaways to put AI in perspective. url: https://medium.com/wirehead/12-mind-blowing-ai-advances-and-12-critical-takeaways-to-put-ai-in-perspective-56a5b3cc9f88
10905,title: Microsoft Build 2020 Expert Q&A: Cloud AI and Machine Learning Resources. url: https://medium.com/microsoftazure/microsoft-build-2020-expert-q-a-cloud-ai-and-machine-learning-resources-7c7ac2485989
87612,title: What CX Leaders Are Asking Right Now. url: https://medium.com/@lorisai/what-cx-leaders-are-asking-right-now-a5f6b0f9ae48
105871,title: Revolutionizing HR Systems: Essential Tools to Drive Business Growth. url: https://medium.com/own-your-knowledge/essential-tools-to-drive-business-and-revolutionize-hr-systems-lurnii-6d6264c8e6ee
109549,title: Can Artificial Intelligence and Bots Provide a Return on Relationship? — discover.bot. url: https://medium.com/storypath/can-artificial-intelligence-and-bots-provide-a-return-on-relationship-discover-bot-d67f8583994f
13785,title: Announcing AI Localism: A new platform supporting the responsible use and design of AI at the local level. url: https://medium.com/data-stewards-network/announcing-ai-localism-a-new-platform-supporting-the-responsible-use-and-design-of-ai-at-the-76f3fd5f3170
153866,title: Amazon Bolts New York City To Keep Truckin’. url: https://becominghuman.ai/amazon-bolts-new-york-city-to-keep-truckin-2d739213ea8b
877,title: IBM-Oxford Team Uses Supercomputers to Design New Drugs Against COVID-19. url: https://ibm-research.medium.com/global-ibm-oxford-team-uses-supercomputers-to-design-new-drugs-against-covid-19-6293ced5720a
37062,"title: Artificial, yes, but intelligent?. url: https://medium.com/the-writing-on-the-world/artificial-yes-but-intelligent-a38a3137efed"
57633,title: How To Pass Microsoft Azure (AI-900) AI Fundamentals Exam. url: https://medium.com/bb-tutorials-and-thoughts/how-to-pass-microsoft-azure-ai-900-ai-fundamentals-exam-c5aec07e3078
849,title: Noam Chomsky Has Weighed In On A.I. Where Do You stand?. url: https://medium.com/towards-artificial-intelligence/noam-chomsky-has-weighed-in-on-a-i-where-do-you-stand-f478d1b0e0ea
118398,title: Facebook is no longer ‘social’ anything — it’s an algorithmic / AI media platform that needs to be regulated. url: https://medium.com/futurist-gerd-technology-business-and-digital/facebook-is-no-longer-social-anything-it-s-an-algorithmic-ai-media-platform-that-needs-to-be-372ad12896b
14091,title: How to Start An NLP Project. url: https://towardsdatascience.com/how-to-start-an-nlp-project-f76e3f7d0e61
79494,title: In-Car Entertainment Technology. With autonomous cars taking the world…. url: https://medium.com/@tanveerinamdar/lynxotic-7bdd23703314
158355,title: K-means Clustering Clearly explained. url: https://ai.plainenglish.io/k-means-clustering-clearly-explained-4b61d013ed46
76175,title: Chpter Integrated System (CIS) | Integration. url: https://medium.com/@markkiarie/chpter-integrated-system-cis-integration-75de6ae9353e
68454,title: The Life Sciences Industry is Ripe for Platform Disruption. url: https://medium.com/@stefani-41864/the-life-sciences-industry-is-ripe-for-platform-disruption-1b4b64b1821e
127366,title: Creating a different kind of value for Singapore’s big data industry. url: https://medium.com/@brdadiscover/creating-a-different-kind-of-value-for-singapores-big-data-industry-4f97779e4805
2885,title: 15 virtual AI assistants for digital marketers. url: https://medium.com/leadza/15-virtual-ai-assistants-for-digital-marketers-d84265dce79e
187368,title: How Did Employer Career Sites Get So Busy?. url: https://www.mrats.co.uk/how-did-employer-career-sites-get-so-busy-2f523a4eb870
91395,"title: AI Can Solve Wealth Inequality. A few months ago, I stumbled upon a…. url: https://medium.com/@finnjanson/ai-an-antidote-to-wealth-inequality-fcb5ea5a11c7"
13331,title: GraphGrail Ai Innovation plan. url: https://medium.com/graphgrailai/graphgrail-ai-innovation-plan-6daba20badf4
8983,title: Insane workflows with Slack dialogs and YellowAnt!. url: https://medium.com/startup-frontier/insane-workflows-with-slack-dialogs-and-yellowant-711d88123cd0
100698,title: Minimax Algorithm in Tic-Tac-Toe: Adversarial Search Example. url: https://medium.com/analytics-vidhya/minimax-algorithm-in-tic-tac-toe-adversarial-search-example-702c7c1030eb
3922,title: A Brief Introduction to Supervised Learning. url: https://towardsdatascience.com/a-brief-introduction-to-supervised-learning-54a3e3932590
107704,title: Apple Car Rumors Exhaust Me. url: https://medium.com/@LanceUlanoff/apple-car-rumors-exhaust-me-45feea4a87a7
43228,title: What attack will Federated Learning Face?. url: https://medium.com/disassembly/what-attack-will-federated-learning-face-f58a56abc3cb
4004,title: How people wade through one of the top trending technology (artificial intelligence). url: https://medium.com/quick-code/how-people-wade-through-one-of-the-top-trending-technology-artificial-intelligence-6f59f9bb55a1
56909,title: Shifts & Twists in Business Analytics: Reflections from Qlik Qonnections and Alteryx Inspire. url: https://towardsdatascience.com/https-towardsdatascience-com-shifts-twists-in-business-analytics-bec8766091b9
786,title: Designing for AI: Trust. url: https://medium.com/design-ibm/designing-for-ai-trust-ae0342d2b270
118902,title: Top 5 Open-Source Image Super-Resolution Projects To Boost Your Image Processing Tasks. url: https://ai.plainenglish.io/top-5-open-source-image-super-resolution-projects-to-boost-your-image-processing-tasks-e6008c978685
176700,title: How you can listen to MAS400 — An AI-controlled ship powered by IBM technology. url: https://medium.com/@tomdev10/how-you-can-listen-to-mas400-an-ai-controlled-ship-powred-by-ibm-technology-c77985c62382
971,title: AI Summit | San Francisco and Wired to Wear. url: https://medium.com/aimarketingassociation/ai-summit-san-francisco-and-wired-to-wear-c459f8753b51
62594,title: This Is the Ad Clearview AI Used to Sell Your Face to Police. url: https://onezero.medium.com/this-is-the-ad-clearview-ai-used-to-sell-your-face-to-police-8997c2a6f0a8
122410,title: AI Dance based on Human Pose Estimation. url: https://medium.com/nerd-for-tech/ai-dance-based-on-human-pose-estimation-738ac2ff6d1f
170831,title: Improving Employee Experience With AI. url: https://medium.com/@fionadevid5/improving-employee-experience-with-ai-a18930865b03
12897,title: ResNet: from scratch. url: https://tanmaydebnath.medium.com/resnet-from-scratch-638e901e0934
128266,title: Tackling Kaggle’s Mercedes-Benz Greener Manufacturing Competition with Python. url: https://python.plainenglish.io/tackling-kaggles-mercedes-benz-greener-manufacturing-competition-with-python-82dd27e53757
84968,title: AI in healthcare : Case Study Babylon & Kubernetes. url: https://medium.com/@d0r1h/ai-in-healthcare-case-study-babylon-kubernetes-236b656627be
86209,title: Generate Portrait on browser with U²-Net. url: https://medium.com/analytics-vidhya/generate-portrait-on-browser-with-u%C2%B2-net-71b4c682df44
11008,"title: Predicting Heart Failure Using Machine Learning, Part 2. url: https://medium.com/analytics-vidhya/predicting-heart-failure-using-machine-learning-part-2-b343471dbde8"
1370,title: 2020 AI Open-Source Software and Mission-Critical Platforms. url: https://medium.com/ibm-data-ai/2020-ai-open-source-software-and-mission-critical-platforms-ecdc69475193
135208,title: How I (sort of) interviewed an artificial intelligence. url: https://medium.economist.com/how-i-sort-of-interviewed-an-artificial-intelligence-2a9c069a1680
91647,title: Learn the Theory of Linear Regression With Python Implementation. url: https://medium.com/swlh/learn-the-theory-of-linear-regression-with-python-implementation-33107ea6d3d8
91192,title: Building AI autopilots for engineering systems. url: https://medium.com/@balazskegl/building-autopilots-for-engineering-systems-using-ai-86a4f312c1f2
177013,"title: “More than 250 applicants!” Blockchain EXE’s first foray into Europe | CEO at Cougar Inc. Atsushi will be on the stage in Madrid, Spain. url: https://medium.com/couger-blog/more-than-250-applicants-bf3a14ae36e8"
2920,title: How Do Neural Networks Learn?. url: https://medium.com/the-innovation/how-do-neural-networks-learn-82d5e067887
91193,title: Reinforcement Learning in Health Care: Why It’s Important and How It Can Help. url: https://pub.towardsai.net/reinforcement-learning-in-health-care-why-its-important-and-how-it-can-help-8f45dd896a00
89539,title: Machine Learning and AI for All. url: https://medium.com/@kmeeraj/machine-learning-and-ai-for-all-a9874c0a971e
134387,title: This ‘BB-8-Like’ Personal Assistant Follows You Around At Home. url: https://medium.com/techtalkers/this-personal-assistant-follows-you-around-at-home-c5e671ca6214
99793,title: Technology Trends That Will Impact Businesses in 2021. url: https://medium.com/finwintech/technology-trends-that-will-impact-businesses-in-2021-35a8bc3c2afc
851,title: How Neural Networks Work. url: https://medium.com/the-innovation/how-neural-networks-work-c34298a292df
4012,title: Choosing the best AutoML Framework. url: https://medium.com/georgian-impact-blog/choosing-the-best-automl-framework-4f2a90cb1826
1195,title: The NLP Cypher | 12.20.20. url: https://medium.com/towards-artificial-intelligence/the-nlp-cypher-12-20-20-cfc4b197517c
128323,"title: Predicting Heart Failure Using Machine Learning, Part 1. url: https://medium.com/analytics-vidhya/predicting-heart-failure-using-machine-learning-part-1-6c57ce7bee8c"
146,title: The haptic kiss. url: https://mike-meyer.medium.com/the-haptic-kiss-4a7f499fbf7c
97764,title: How to Recruit Deskless Workers With Recruiting AI. url: https://medium.com/@mya-40369/how-to-recruit-deskless-workers-with-recruiting-ai-6e9f13f495d8
64170,title: Call or email with a cold list — only on Opposite Day.. url: https://medium.com/lavidge/call-or-email-with-a-cold-list-only-on-opposite-day-37b81ecfa3b9
99717,title: Redefining Reality. url: https://medium.com/@wearequantious/redefining-reality-e25f948f234c
131758,title: Ford vs Ferrari: AI in Manufacturing Quality. url: https://medium.com/elipsa/ford-vs-ferrari-ai-in-manufacturing-quality-4a3f3f8c91c0
921,title: Estimate Probabilities of Card Games. url: https://medium.com/swlh/estimate-probabilities-of-card-games-3ae50adb75c7
90960,title: Confinement. url: https://medium.com/illumination/confinement-f15962101b7d
86173,title: What is Edtech? +4 Ways AI Is Shaping Education. url: https://medium.com/@n-koltunova/what-is-edtech-4-ways-ai-is-shaping-education-197c375e86ef
76972,title: The Intelligent Approach to Immediately Streamline Healthcare. url: https://becominghuman.ai/the-intelligent-approach-to-immediately-streamline-healthcare-728b52409b68
3941,title: 20 (more) Technologies that will change your life by 2050. url: https://medium.com/predict/20-more-technologies-that-will-change-your-life-by-2050-a28563a763a3
50246,title: Teaching a bell to ring when your pancakes are ready 🛎 🥞. url: https://medium.com/google-design/teaching-a-bell-to-ring-when-your-pancakes-are-ready-d65db43fffe5
86093,title: Top 5 Challenges For Edtech Startups & Solutions To Them. url: https://medium.com/@n-koltunova/top-5-challenges-for-edtech-startups-solutions-to-them-5a65ab46e2f2
113491,title: Is AI the future of copywriting?. url: https://medium.com/@eleanorgoold/is-ai-the-future-of-copywriting-8a20edac61a0
97961,title: Deep Learning in Industry: Learn New Tricks from Experts Next Week. url: https://medium.com/zetane-blog/deep-learning-in-industry-learn-new-tricks-from-experts-next-week-e85e6ccd8646
116197,title: Quick and Easy Deep Learning WebApp. url: https://towardsdatascience.com/quick-and-easy-deep-learning-webapp-762f92f19f46
183975,title: Coding four-layer neural network. url: https://medium.com/@chamakhabdallah8/coding-four-layer-neural-network-9e5cbaf95d5b
3689,title: Engineering visual search inside Pinterest browser extensions. url: https://medium.com/pinterest-engineering/engineering-visual-search-inside-pinterest-browser-extensions-90e7ed9d2b14
76190,title: GRC solution for Banking and Financial Services. url: https://medium.com/@t-dineshu/grc-solution-for-banking-and-financial-services-94dbe3c9c328
12848,title: Insights from our Small Data roundtable v.2. url: https://medium.com/dataseries/insights-from-our-small-data-roundtable-v-2-a593bb1ca605
1017,title: DeOldify: GAN based Image Colorization. url: https://medium.com/merzazine/deoldify-gan-based-image-colorization-6abaa74dd250
115153,title: How to Build Lean AI Startups (Including Real-World Case Studies). url: https://becominghuman.ai/how-to-build-lean-ai-startups-including-real-world-case-studies-84306075a372
10647,title: Learning Machine Learning: How should I attempt to start?. url: https://chrisjanwust.medium.com/machine-learning-how-should-i-attempt-to-start-22bc03301da0
12347,title: A Beginner’s Guide for Getting Started with Machine Learning. url: https://tp6145.medium.com/a-beginners-guide-for-getting-started-with-machine-learning-7ba2cd5796ae
108187,title: The ultimate FIZZBUZZ Challenge. url: https://medium.com/@pratiklahudkar/the-ultimate-fizzbuzz-challenge-7d945d9fb24e
85611,title: Student’s marks prediction using python. url: https://medium.com/@nisarg-satani103028/students-marks-prediction-using-python-d95031a20eed
101290,title: Simple image classification on raspberry pi from pi-camera using the pre-trained model VGG16 and TensorFlow. url: https://medium.com/@oleksandrg/simple-image-classification-on-raspberry-pi-from-pi-camera-used-the-pre-trained-model-vgg16-part-3d7ce73dde9c
745,title: Could AI Appreciate Art?. url: https://medium.com/swlh/could-ai-appreciate-works-of-art-part-1-36075a5d926
126083,title: What I Learned Exploring Bias in My Company’s Technology. url: https://medium.com/swlh/what-i-learned-exploring-bias-in-my-companys-technology-bb68559d7f8f
165055,title: Searching for similarities: from interior design to medical diagnostics. url: https://medium.com/@borucki.bartek/searching-for-similarities-from-interior-design-to-medical-diagnostics-8d6a0652432f
168739,title: The Trash We Make: AI Solutions For A Cleaner World. url: https://medium.com/omdena/the-trash-we-make-ai-solutions-for-a-cleaner-world-18caeeb95e85
73512,title: The Modernization of the Military: Machine Learning and Predictive Maintenance. url: https://medium.com/@spartascience_/the-modernization-of-the-military-machine-learning-and-predictive-maintenance-df3630f79ed5
13204,title: Dash is an ideal Python based front-end for your Databricks Spark Backend. url: https://medium.com/plotly/dash-is-an-ideal-front-end-for-your-databricks-spark-backend-212ee3cae6cc
153851,title: It’s time we involve citizens in the AI revolution. url: https://medium.com/@vincejstraub/its-time-we-involve-citizens-in-the-ai-revolution-e482f457449
39774,title: Machine Learning; The Matrix Materialized. url: https://medium.com/datadriveninvestor/machine-learning-the-matrix-materialized-79071b279a7f
166007,title: Analysed and clustered multivariate wave climate. url: https://medium.com/@julien.dasilva/analysed-and-clustered-multivariate-wave-climate-a5f48c3d2e86
61997,title: What does the Network see?. url: https://towardsdatascience.com/what-does-the-network-see-4fec5aa4d2eb
35278,title: DEEP FAKES: The Most Serious Threats in AI. url: https://medium.com/illumination/deep-fakes-the-most-serious-threats-in-ai-ce9943409c03
6482,title: 5 Post-Pandemic Trends in Data Science. url: https://medium.com/swlh/5-post-pandemic-trends-in-data-science-4f1b4bf147ad
36029,title: Rethinking the AI / Machine Learning Lifecycle for the Enterprise. url: https://towardsdatascience.com/rethinking-ai-machine-learning-model-management-8afeaa31d8f8
126432,title: Chained multi-output regression solution with Scikit-Learn. url: https://towardsdatascience.com/chained-multi-output-regression-solution-with-scikit-learn-4f44bf9c8c5b
59679,title: Can Artificial Intelligence Make Us Safer?. url: https://medium.com/dlabs-ai/can-artificial-intelligence-make-us-safer-fc2bbec19665
588,title: Read the Email That Led to the Exit of Google A.I. Ethicist Timnit Gebru. url: https://onezero.medium.com/read-the-email-that-led-to-the-exit-of-google-a-i-ethicist-timnit-gebru-45a4775c14ca
118862,title: Introduction to Image Processing Using OpenCV in Google Colab. url: https://medium.com/@karmatnspyphuntsho-tijtech/introduction-to-image-processing-using-opencv-in-google-colab-a449306cb395
176540,title: AI Consultation by the UK ICO. url: https://medium.datadriveninvestor.com/ai-consultation-by-the-uk-ico-2094a747f025
173102,title: The AI/ML FDA Plan. url: https://medium.com/@xamat/the-ai-ml-fda-plan-efb384c9bf31
83147,title: The instant alerts that will improve your business. url: https://medium.com/telecommunication-trends-with-dubber/the-instant-alerts-that-will-improve-your-business-8456dabd5ded
42811,"title: Three Different Things: February 25, 2020. url: https://medium.com/early-hours/three-different-things-february-25-2020-18facbb4bcf5"
144695,title: SpaceNet 6: Dataset Release. url: https://medium.com/the-downlinq/spacenet-6-dataset-release-66076c8fb79b
153214,title: Best Chatbot Platform for Customer Service. url: https://chatbotslife.com/best-chatbot-platform-for-customer-service-327871cf2e23
11819,title: What is Artificial Intelligence?. url: https://medium.com/technology-hits/what-is-artificial-intelligence-aaf562bb48f1
83140,title: A revolutionAIry way to understand the present and future of business.. url: https://medium.com/l-a-t-o/a-revolutionairy-way-to-understand-the-present-and-future-of-business-319cea024d72
10762,title: A Start-to-Finish Guide to Building Deep Neural Networks in Keras. url: https://medium.com/analytics-vidhya/a-start-to-finish-guide-to-building-deep-neural-networks-in-keras-3d54de097a75
257,title: AI and the bright future ahead. url: https://medium.com/alttext/ai-and-the-bright-future-ahead-91af55db25e8
1002,"title: DialogRPT With 🤗 Huggingface Transformers: Which Comments Get More Likes, More Replies and Are More Engaging?. url: https://medium.com/swlh/dialogrpt-with-huggingface-transformers-which-comments-get-more-likes-more-replies-and-are-5e7e13a5429f"
63996,title: Convolutional Neural Network: theory and code. url: https://medium.com/nerd-for-tech/convolutional-neural-network-theory-and-code-20bbe066fa48
155213,title: How To Add SingularityNET (AGIX) Tokens To Your Wallet. url: https://blog.singularitynet.io/how-to-add-singularitynet-agix-tokens-to-your-wallet-db97ba727b8e
149855,title: Why We Started Rhino Health. url: https://medium.com/@ittai-97830/why-we-started-rhino-health-18ecc2312e53
48397,"title: I wanna be a data scientist, but… how!?. url: https://medium.com/yottabytes/i-wanna-be-a-data-scientist-but-how-779219ce6311"
58331,"title: AI Forum 2018 in San Francisco[Sep 21st, 2018]. url: https://medium.com/aimarketingassociation/ai-forum-2018-in-san-francisco-sep-21st-2018-50ef37fccb8d"
12806,title: AlpacaRadar Robo-advisor solution. url: https://medium.com/alpaca-ai/alpacaradar-robo-advisor-solution-9f27d9a2f14b
182141,title: Housing Price Prediction on Steroids. url: https://towardsdatascience.com/housing-price-prediction-on-steroids-83daccc84d6d
49987,title: Digital Advertising Needs an AI Paradigm Shift. url: https://medium.com/aimarketingassociation/digital-advertising-needs-an-ai-paradigm-shift-87296fc6aaa8
728,title: Hyperkops: Scaleable Hyperparameter Tuning of Machine Learning Models Using Bayesian optimisation in Kubernetes. url: https://medium.com/hipages-engineering/hyperkops-scaleable-tuning-of-machine-learning-models-using-bayesian-optimisation-in-kubernetes-bd0ce480b02b
94956,title: The J.M. Smucker Co. Announces Multi-Year Support for AIEDU. url: https://medium.com/the-ai-education-project/the-j-m-smucker-co-announces-multi-year-support-for-aiedu-a1ef37f456f9
77480,title: AI Agents are not Artists. AI lacks the psychic structure and…. url: https://towardsdatascience.com/artificial-intelligence-agents-are-not-artists-9743d5dba2d0
12075,title: Insights from the round table: Resource Optimization for AI at the intersection of hardware and software. url: https://medium.com/dataseries/insights-from-the-round-table-resource-optimization-for-ai-at-the-intersection-of-hardware-and-7e2882710c23
166902,title: DRC Ebola Outbreak: Land Use Data Made Available for Emergency Responders. url: https://medium.com/from-the-macroscope/drc-ebola-outbreak-land-use-data-made-available-for-emergency-responders-2da6bce32840
390,title: Posthumanity and the Future of Brain-Computer Interface Startups. url: https://medium.com/predict/posthumanity-and-the-future-of-brain-computer-interface-startups-9f5c25fc92f7
149093,title: Decrypted — AI-powered smart contract creation for non-programmers. url: https://blog.chronologic.network/decrypted-ai-powered-smart-contract-creation-for-non-programmers-bcadd9f0297e
119453,title: How To Stay Human As a Content Creator. url: https://medium.com/@joecontentwriter/how-to-stay-human-as-a-content-creator-8dfc9a89ec75
12971,title: Discovering and Classifying In-app Message Intent at Airbnb. url: https://medium.com/airbnb-engineering/discovering-and-classifying-in-app-message-intent-at-airbnb-6a55f5400a0c
61213,title: Dig deep enough. Create meaningful Features for ML…. url: https://towardsdatascience.com/dig-deep-enough-features-engineering-techniques-for-time-series-analysis-in-python-500c96aebade
1499,title: How to Control AI that Becomes Too Advanced?. url: https://markvanrijmenam.medium.com/how-to-control-ai-that-becomes-too-advanced-942e91edd35d
140725,title: The Age of Digital Technology: What are the implications of AI?. url: https://medium.com/digital-society/the-age-of-digital-technology-what-are-the-implications-of-ai-341ea543cf6b
164335,title: Artificial Neural Networks are Improving Marketing Strategies. url: https://medium.com/@tamim-dalwai/artificial-neural-networks-are-improving-marketing-strategies-d03cabf447a9
3710,title: Seven Different Visualizations of Immunization Data. url: https://medium.com/ai-in-plain-english/seven-different-visualizations-of-immunization-data-b3185a791014
