,combined_info
3810,"title: Don’t Sell Your Emotions on Social Media, url: https://medium.com/plus-marketing/dont-sell-your-emotions-on-social-media-6079735e2dc6"
39774,"title: Machine Learning; The Matrix Materialized, url: https://medium.com/datadriveninvestor/machine-learning-the-matrix-materialized-79071b279a7f"
390,"title: Posthumanity and the Future of Brain-Computer Interface Startups, url: https://medium.com/predict/posthumanity-and-the-future-of-brain-computer-interface-startups-9f5c25fc92f7"
153337,"title: Donald Trump is an Android. Or not real. According to this AI detector., url: https://towardsdatascience.com/donald-trump-is-an-android-3bf1173f3e88"
4257,"title: The practical benefits of augmented analytics, url: https://medium.com/dataseries/the-practical-benefits-of-augmented-analytics-5a6fa4031c0b"
3883,"title: Poker? Done that. Now the next challenge…, url: https://medium.com/enrique-dans/poker-done-that-now-the-next-challenge-330b67b11a28"
189,"title: How AI can add value and viability to your business application ?, url: https://medium.com/yugasa/how-ai-can-add-value-and-viability-to-your-business-application-2c9d683f433c"
153851,"title: It’s time we involve citizens in the AI revolution, url: https://medium.com/@vincejstraub/its-time-we-involve-citizens-in-the-ai-revolution-e482f457449"
44015,"title: Distributed Computing for Data Scientists, url: https://medium.com/coiled-hq/distributed-computing-for-data-scientists-bfabc72d39da"
111345,"title: Image Classification On CIFAR 10: A Complete Guide, url: https://ai.plainenglish.io/complete-guide-image-classification-on-cifar-10-chapter-i-multiclass-logistic-regression-525daee0775b"
49482,"title: Play Learning Mix 2: Feel Automation, url: https://medium.com/modern-global-trends/play-learning-mix-2-feel-automation-481c53c95fed"
13247,"title: The Economic Value Of Punchh Loyalty Program — An Intervention Analysis Investigation, url: https://punchhtech.medium.com/the-economic-value-of-punchh-loyalty-program-an-intervention-analysis-investigation-c9d63d3d78d1"
129449,"title: How Artificial Intelligence is changing the agricultural industry, url: https://medium.com/@edurific/how-artificial-intelligence-is-changing-the-agricultural-industry-82949fa42537"
148969,"title: The Next Big Change in Airport Security, url: https://medium.com/@xenavision/the-next-big-change-in-airport-security-7787da52f44b"
161030,"title: ARTIFICIAL INTELLIGENCE APPLICATIONS IN HEALTH CARE, url: https://medium.com/@jbitengg2019/artificial-intelligence-applications-in-health-care-6749b42cc0"
46959,"title: Linear Regression Using Boston Housing Dataset, url: https://medium.com/ai-in-plain-english/linear-regression-using-boston-housing-dataset-e4c2ee891b02"
115555,"title: What can technology do to us?, url: https://medium.com/@obtained/what-can-technology-do-to-us-b3b1ba18885d"
179476,"title: Fast Feature Engineering in Python: Image Data, url: https://towardsdatascience.com/fast-feature-engineering-in-python-image-data-5d3a8a7bf616"
3461,"title: Microsoft just added 3 interesting new Features to Lobe, url: https://medium.com/dataseries/check-these-3-interesting-new-features-in-lobe-39bf4dfedcc7"
89552,"title: Reusable code snippets in JupyterLab, url: https://blog.jupyter.org/reusable-code-snippets-in-jupyterlab-8d75a0f9d207"
152521,"title: Community Newsletter (11–15 November), url: https://medium.com/fetch-ai/community-newsletter-11-15-november-477ede5df37e"
11812,"title: The Social Network Is the Computer, url: https://medium.com/mit-initiative-on-the-digital-economy/the-social-network-is-the-computer-449202844c"
128544,"title: Why are you so quiet?, url: https://medium.com/@raajatg/why-are-you-so-quiet-a64f2542e820"
106653,"title: MAFAT Radar Challenge: Solution by Axon Pulse, url: https://medium.com/axon-pulse/mafat-radar-challenge-solution-by-axon-pulse-a4f082e62b3e"
94883,"title: Jonathan Replaced by AI, Happy for It, url: https://medium.com/omdena/johathan-replaced-by-ai-he-s-happy-for-it-ac426ffc2896"
851,"title: How Neural Networks Work, url: https://medium.com/the-innovation/how-neural-networks-work-c34298a292df"
11711,"title: Schools using facial recognition system sparks privacy concerns in China, url: https://edtechchina.medium.com/schools-using-facial-recognition-system-sparks-privacy-concerns-in-china-d4f706e5cfd0"
97016,"title: Helm.ai named “Autonomous Driving Solution of the Year”, url: https://medium.com/@helm-ai/helm-ai-named-autonomous-driving-solution-of-the-year-bdeefc79390c"
72315,"title: Do Marketers Dream of Artificial Intelligence?, url: https://medium.com/jimc-2021/do-marketers-dream-of-artificial-intelligence-b3ef2a476733"
148654,"title: Unlocking the Potential of Smart Parking Technologies to Improve Patient Experience, url: https://medium.com/geekculture/why-smart-hospitals-need-digital-parking-unlocking-the-potential-of-smart-parking-technologies-to-d63992d332e9"
13134,"title: On gender bias in word embeddings, url: https://medium.com/linguaphile/on-gender-bias-in-word-embeddings-e53c40ba9294"
10869,"title: Privacy Preserving Deep Learning in Medical Imaging, url: https://medium.com/wicds/privacy-preserving-deep-learning-in-medical-imaging-f944fda3d0f8"
109513,"title: Natural Language Principles, url: https://chatbotslife.com/natural-language-principles-65e88e20b94"
115393,"title: Best Practices For Your Supplier Self-Assessments, url: https://medium.com/@waasla/best-practices-for-your-supplier-self-assessments-7743bf891d20"
11918,"title: Grease the wheels of Machine Learning, url: https://sivashankarivaitheswaran.medium.com/grease-the-wheels-of-machine-learning-ee31d98a9fa5"
3583,"title: 7 Steps to Develop a Chatbot for Your Business, url: https://markvanrijmenam.medium.com/how-to-develop-conversational-ai-for-your-business-3ab025a65a52"
121937,"title: Why We Need to Raise Awareness on the Issues of AI Now, url: https://medium.com/@roxana-lara-pomplun/why-we-need-to-raise-awareness-on-the-issues-of-ai-now-4f923cbb4edf"
84588,"title: Smartphone AI: Artificial General Intelligence (AGI) Is It Possible? | Tech Evaluate, url: https://medium.com/@johnwmortensen/smartphone-ai-artificial-general-intelligence-agi-is-it-possible-tech-evaluate-26052806d630"
64508,"title: Trends in Blockchain Application Development, url: https://medium.com/kapitalized/trends-in-blockchain-application-development-51a438f46941"
3538,"title: Real Artificial Intelligence: Understanding Extrapolation vs Generalization, url: https://towardsdatascience.com/real-artificial-intelligence-understanding-extrapolation-vs-generalization-b8e8dcf5fd4b"
12412,"title: How to Debug a ML Model: A Step-by-Step Case Study in NLP, url: https://towardsdatascience.com/how-to-debug-an-ml-model-a-step-by-step-case-study-in-nlp-d79d384f7427"
12692,"title: How banks use AI to catch criminals and detect bias, url: https://medium.com/abn-amro-developer/how-banks-use-ai-to-catch-criminals-and-detect-bias-4a261f6de4ad"
131802,"title: Practitioner’s guide to IoU, Non-Max suppression, and Mean Average Precision, url: https://medium.com/@vijayabhaskar96/practitioners-guide-to-iou-non-max-suppression-and-mean-average-precision-e09de73a2bd8"
11899,"title: Why data literacy is the key to future-proofing your career, url: https://medium.com/humans-of-xero/why-data-literacy-is-the-key-to-future-proofing-your-career-53140c993d5a"
45755,"title: The Algorithm Worth Billions: How YouTube’s Addictive Video Recommender Works, url: https://medium.com/faun/the-algorithm-worth-billions-how-youtubes-addictive-video-recommender-works-d75646dac6a3"
5761,"title: Operationalizing AI with Databricks, Microsoft and Slalom, url: https://medium.com/slalom-technology/operationalizing-ai-with-databricks-microsoft-and-slalom-c423e6a20350"
3622,"title: The Strategy That Increases Model Accuracy, Every Time, Guaranteed, url: https://medium.com/analytics-vidhya/the-strategy-that-increases-model-accuracy-every-time-guaranteed-6ee5e476262d"
68139,"title: Conversation on racism and robotics, url: https://medium.com/silicon-valley-robotics/conversation-on-racism-and-robotics-32471b97d822"
745,"title: Could AI Appreciate Art?, url: https://medium.com/swlh/could-ai-appreciate-works-of-art-part-1-36075a5d926"
96970,"title: UK Government is Ending (and Saving) the Autonomous Vehicle Industry as We Know It, url: https://medium.com/@imispgh/uk-government-is-ending-and-saving-autonomous-vehicle-industry-as-we-know-it-73d5be453330"
79758,"title: DIGITAL DESIGN OPTIMIZATION FROM SCHEMATIC WITH AI, url: https://medium.com/@yeshakarathiya2000/digital-design-optimization-from-schematic-with-ai-4a4cfe076891"
81054,"title: How to create powerful technologies that are reliably at our service, url: https://uxdesign.cc/how-to-create-powerful-technologies-that-are-reliably-at-our-service-9aae38fbbdc2"
397,"title: Should we fear AI?, url: https://medium.com/datadriveninvestor/should-we-fear-ai-385c26ca73f1"
4004,"title: How people wade through one of the top trending technology (artificial intelligence), url: https://medium.com/quick-code/how-people-wade-through-one-of-the-top-trending-technology-artificial-intelligence-6f59f9bb55a1"
1661,"title: The Advent of Architectural AI, url: https://medium.com/built-horizons/the-advent-of-architectural-ai-2fb6b6d0c0a8"
62879,"title: AI: What’s Next? On Demand AI Means OnDemand Intuitive Marketing, url: https://medium.com/aimarketingassociation/ai-whats-next-on-demand-ai-means-ondemand-intuitive-marketing-412f90219524"
3934,"title: Insights from our Synthetic Content and Deep Fake Technology Round Table, url: https://medium.com/dataseries/insights-from-our-synthetic-content-and-deep-fake-technology-round-table-609489ca26d9"
165505,"title: Automated Machine Learning: what it means for companies, url: https://medium.com/astercapital/automated-machine-learning-what-it-means-for-companies-71f1da27a4f1"
180290,"title: How to perform video object detection, url: https://medium.com/@nicolas-noel-34687/how-to-perform-video-object-detection-fba54a22d201"
174730,"title: #DataBlogSpp7: How to use TotalMTD/QTD/YTD #DAX function in #powerbi., url: https://medium.com/analytics-vidhya/datablogspp7-how-to-use-totalmtd-qtd-ytd-dax-function-in-powerbi-d4d16ae29b8c"
3922,"title: A Brief Introduction to Supervised Learning, url: https://towardsdatascience.com/a-brief-introduction-to-supervised-learning-54a3e3932590"
13682,"title: Autonomous Truck Simulator with PyTorch — finetuning and single shot detectors, url: https://towardsdatascience.com/autonomous-truck-simulator-with-pytorch-3695dfc05555"
112524,"title: AI & Machine Learning: Top 5 Emerging Trends To Watch Out For in 2021, url: https://meetadeveloper.com/ai-machine-learning-top-5-emerging-trends-to-watch-out-for-in-2021-52791a030fc"
38887,"title: Deep Learning, url: https://rnalakurthi.medium.com/deep-learning-74818e64cdcc"
55285,"title: Heartbroken, url: https://medium.com/blueinsight/heartbroken-ce69c2b2593a"
12748,"title: What will it take to make a healthcare bot your new best friend?, url: https://medium.com/digital-leaders-uk/what-will-it-take-to-make-a-healthcare-bot-your-new-best-friend-da09d27a3921"
93855,"title: Google Walkout for real Change is standing with Dr., url: https://medium.com/antiracist-nursing-news/google-walkout-for-real-change-is-standing-with-dr-46ebb0188d58"
131806,"title: ISWYDS exploring object detection using Darknet and YOLOv4 @Design Museum Gent, url: https://medium.com/@oliviervandhuynslager-75562/i-see-what-you-dont-see-exploring-object-detection-using-darknet-and-yolov4-330ada17767f"
121500,"title: What is Rocco’s Basilisk and how did Elon Musk find a girl friend with it?, url: https://medium.com/@davepartner/what-is-rocos-basilika-and-how-did-elon-musk-find-a-girl-friend-with-it-475a042867d"
459,"title: How AI Could Have Prevented the “Great Google Outage”, url: https://medium.com/dataseries/how-ai-could-have-prevented-the-great-google-outage-3b493c1537d9"
45332,"title: GPT-3: And in the Beginning Was the Word (Part 1/2), url: https://medium.com/swlh/gpt-3-and-in-the-beginning-was-the-word-part-1-2-38e67633c315"
188314,"title: The guardians of the NFT ecosystem- bitsCrunch, url: https://medium.com/@meshach1ekwebelem094/the-guardians-of-the-nft-ecosystem-bitscrunch-dd65c744bab9"
132483,"title: Going hand in hand: data and design, url: https://medium.com/design-council/going-hand-in-hand-data-and-design-386f9294d36f"
1753,"title: Confidence intervals for permutation importance, url: https://towardsdatascience.com/confidence-intervals-for-permutation-importance-2d025bc740c5"
1815,"title: Artificial Intelligence (AI), Data Science, and Analytics, url: https://medium.com/swlh/artificial-intelligence-ai-data-science-and-analytics-14d8395b9ce2"
40927,"title: Bag Of Visual Words. Bag Of Visual Words(also known as Bag…, url: https://medium.com/analytics-vidhya/bag-of-visual-words-bag-of-features-9a2f7aec7866"
76065,"title: Here’s what you need to know about AIEDU’s Forum on AI Education, url: https://medium.com/the-ai-education-project/heres-what-you-need-to-know-about-aiedu-s-forum-on-ai-education-b68ab23aade1"
109536,"title: Explaining to my family on Thanksgiving what Botcopy does has never been easy. Wish me luck., url: https://blog.botcopy.com/explaining-to-my-family-on-thanksgiving-what-botcopy-does-has-never-been-easy-wish-me-luck-f91291259a27"
1019,"title: The rise of (audio)books. We have come a long way — from renting..., url: https://medium.com/predict/the-future-of-audio-books-cbc5a21355dc"
124600,"title: Can We Escape an AI Arms Race?, url: https://medium.com/encode-justice/can-we-escape-an-ai-arms-race-b45b4273f029"
45581,"title: 🚧 Simple considerations for simple people building fancy neural networks, url: https://medium.com/huggingface/simple-considerations-for-simple-people-building-fancy-neural-networks-7abc3c0f0bd7"
106701,"title: Beginners Guide -CNN Image Classifier | Part 1, url: https://becominghuman.ai/beginners-guide-cnn-image-classifier-part-1-140c8a1f3c12"
70995,"title: I made my PC work like Minority Report, url: https://medium.com/@orders-81716/i-made-my-pc-work-like-minority-report-f2969e61674c"
53808,"title: Overcoming the AI “Creep-Factor”, url: https://medium.com/swlh/overcoming-the-ai-creep-factor-b3fbb6489319"
41733,"title: GPT-3: Creative Potential of NLP, url: https://medium.com/merzazine/gpt-3-creative-potential-of-nlp-9b3be712a2c1"
58104,"title: AI for Compliance — Is your business ready for CCPA?, url: https://medium.com/ibm-data-ai/ai-for-compliance-5747c28368b8"
13687,"title: Word2Vecで辞書を作成して見ました, url: https://medium.com/in-pursuit-of-artificial-intelligence/word2vec%E3%81%A7%E8%BE%9E%E6%9B%B8%E3%82%92%E4%BD%9C%E6%88%90%E3%81%97%E3%81%A6%E8%A6%8B%E3%81%BE%E3%81%97%E3%81%9F-6d9d24bd5595"
44597,"title: The game of Regularization. An intuitive explanation of the…, url: https://towardsdatascience.com/the-game-of-regularization-91442b3be862"
370,"title: An Introduction to 5 Types of Image Annotation, url: https://medium.com/towards-artificial-intelligence/an-introduction-to-5-types-of-image-annotation-a6f486a6270f"
99699,"title: VIDEO TOURS 360, url: https://medium.com/@jeeva-criminology/video-tours-360-d23120cfe270"
50676,"title: Why Alternative Data Is Critical to Digital Transformation, url: https://medium.com/swlh/why-alternative-data-is-critical-to-digital-transformation-93bf877ff202"
50281,"title: Unity is strength — A story of model composition, url: https://medium.com/criteo-labs/unity-is-strength-a-story-of-model-composition-49748b1f1347"
37552,"title: The Life Sciences Industry is Ripe for Platform Disruption, url: https://stefani-41864.medium.com/the-life-sciences-industry-is-ripe-for-platform-disruption-1b4b64b1821e"
11067,"title: It’s Time to Urbanize Technology, url: https://medium.com/swlh/its-time-to-urbanize-technology-141fa5580574"
100698,"title: Minimax Algorithm in Tic-Tac-Toe: Adversarial Search Example, url: https://medium.com/analytics-vidhya/minimax-algorithm-in-tic-tac-toe-adversarial-search-example-702c7c1030eb"
160,"title: Identifying Outliers, url: https://medium.com/better-programming/identifying-outliers-part-two-4c00b2523362"
13402,"title: Categorizing Listing Photos at Airbnb, url: https://medium.com/airbnb-engineering/categorizing-listing-photos-at-airbnb-f9483f3ab7e3"
1155,"title: Top 10 Benefits Of Artificial Intelligence, url: https://medium.com/edureka/benefits-of-artificial-intelligence-dc2d3e64ba80"
12711,"title: Text Summarization using a Wordcloud & Deployed on Streamlit, url: https://medium.com/analytics-vidhya/text-summarization-using-a-wordcloud-deployed-on-streamlit-cbce2f411c24"
181413,"title: De-coding the Cloud: In Conversation with Abdo Hassan, url: https://medium.com/@fiber/de-coding-the-cloud-in-conversation-with-abdo-hassan-c8ee0dcce92"
37936,"title: A Definitive Guide to Running an End-to-End Data Science Workflow in Watson Studio Cloud, url: https://medium.com/ibm-data-ai/a-definitive-guide-to-running-an-end-to-end-data-science-workflow-in-watson-studio-cloud-de3df060ba92"
116216,"title: Salesforce Einstein Vision Integration with Salesforce App, url: https://medium.com/analytics-vidhya/salesforce-vision-integration-with-salesforce-app-d758369dc37f"
7264,"title: Today’s Rembrandts in the Attic: Unlocking the Hidden Value of Data, url: https://medium.com/data-stewards-network/todays-rembrandts-in-the-attic-unlocking-the-hidden-value-of-data-e98bc308fd9e"
131741,"title: Human portrait drawing powered by AI (U^2-Net), url: https://medium.com/@adakoda/human-portrait-drawing-powered-by-ai-u%C2%B2-net-de999a1cb466"
114857,"title: Can intelligent beings exist without biological support?, url: https://medium.com/@jeanclauteaux/can-intelligent-beings-exist-without-biological-support-1fd06cea37a2"
109494,"title: Build a virtual support employee chatbot to support your firm attorneys, url: https://chatbotslife.com/build-a-virtual-support-employee-chatbot-to-support-your-firm-attorneys-a8dbb78c92d1"
132011,"title: Artificial Intelligence and Synthetic Media in News Broadcasting, url: https://medium.com/@gelatotina/artificial-intelligence-and-synthetic-media-in-news-broadcasting-56d937fc4fc5"
48583,"title: Welcome to the new and improved Sparrho !, url: https://medium.com/sparrho/welcome-to-the-new-and-improved-sparrho-9220bf222c94"
3426,"title: What Machines Don’t “See” … Yet., url: https://medium.com/swlh/what-machines-dont-see-82598299bcea"
153865,"title: United Robots’ founder Sören Karlsson on the future for bot created content, url: https://medium.com/@DISummit/united-robots-founder-s%C3%B6ren-karlsson-on-the-future-for-bot-created-content-6a34035ced4d"
163163,"title: Speech synthesis and paralanguage: Experiments in affective computing, url: https://medium.com/voice-tech-global/speech-synthesis-and-paralanguage-experiments-in-affective-computing-c80c950f7e5a"
11588,"title: The Dog Code, url: https://medium.com/mark-starlin-writes/the-dog-code-9b2393413ce0"
3989,"title: The new equation for ultimate AI energy efficiency., url: https://the-engine.medium.com/the-new-equation-for-ultimate-ai-energy-efficiency-119eccafb38c"
163171,"title: Importance Of Natural Language Processing For Businesses, url: https://medium.com/@varalaxmi/importance-of-natural-language-processing-for-businesses-493409e193fb"
68269,"title: NeurIPS 2020 Sharing, url: https://medium.com/@tzuruey/neurips-2020-sharing-9e8f8496d520"
51138,"title: Logic, Intuition and Paradox, url: https://medium.com/cantors-paradise/logic-intuition-and-paradox-d0881627762a"
12658,"title: How AI can be used to boost the impact of e-learning, url: https://medium.com/unitx-ai-magazine/how-ai-can-boost-e-learning-ec5809df3b84"
91335,"title: Race to the future : Omnipresent AI, url: https://medium.com/@sathvisubramanian/race-to-the-future-omnipresent-ai-1587e630cd92"
11970,"title: How to invest smartly in the cryptocurrency market, url: https://medium.com/ai-x/how-to-invest-smartly-in-the-cryptocurrency-market-c260af3e60c5"
64494,"title: How to Systematically Fool an Image Recognition Neural Network, url: https://towardsdatascience.com/how-to-systematically-fool-an-image-recognition-neural-network-7b2ac157375d"
67193,"title: Apple’s A.I. Research Team Is Playing Catch-Up With Siri, url: https://onezero.medium.com/apples-a-i-research-team-is-playing-catch-up-with-siri-ab94684deb13"
1338,"title: What is Deep Learning and How Deep Learning Works?, url: https://medium.com/ai-in-plain-english/what-is-deep-learning-and-how-deep-learning-works-6f055125633d"
12414,"title: How to Leverage AI to Predict (and Prevent) Customer Churn, url: https://towardsdatascience.com/how-to-leverage-ai-to-predict-and-prevent-customer-churn-f84d653a76fb"
1002,"title: DialogRPT With 🤗 Huggingface Transformers: Which Comments Get More Likes, More Replies and Are More Engaging?, url: https://medium.com/swlh/dialogrpt-with-huggingface-transformers-which-comments-get-more-likes-more-replies-and-are-5e7e13a5429f"
477,"title: AI for Software Engineering — Industry Landscape (18/Oct/2017), url: https://medium.com/ai-for-software-engineering/ai-for-software-engineering-industry-landscape-18-oct-2017-e45d5fb83c78"
61777,"title: Natural Language Processing in Python with Code (Part II), url: https://medium.com/swlh/natural-language-processing-in-python-with-code-part-ii-18c8742762a4"
59577,"title: AI News Roundup — July 2020. by Gabriella Runnels and Macon McLean, url: https://medium.com/opex-analytics/ai-news-roundup-july-2020-b3e002278bc3"
116187,"title: Loci ML Studio is Available, url: https://medium.com/@loci-ml/loci-ml-studio-is-available-4c0dc575fe82"
42142,"title: On Bullshit in Art and Data Science, url: https://medium.com/merzazine/on-bullshit-in-art-and-data-science-8b39441abcc4"
179327,"title: What sets us apart from AI, url: https://medium.datadriveninvestor.com/what-sets-us-apart-from-ai-9d5171f086b9"
138639,"title: How to grow your Podcast in 2021, url: https://medium.com/@listnrco/how-to-grow-your-podcast-in-2021-45dfef2a5b8"
2834,"title: Neurons in Spreadsheets, url: https://medium.com/the-innovation/neurons-in-spreadsheets-e917c5c77a22"
